"","secchi.x","CA_insitu","blue_insit","green_insi","red_insitu","nir_insitu","CA","Blue","Green","Red","NIR","local.x","GLORIA_ID","region.x","sensor","Class","region"
"76",NA,NA,0.002883523451045,0.005493463374673,0.003220744803914,9.8160758e-08,0.01,0.007504155566783,0.007994352791506,0.004160310212422,0.002409605838411,"PACE_HICO","AGID_1180","US","ETM+",NA,"US"
"77",NA,NA,0.003002968141167,0.005814854189368,0.003576244489173,1.13806627e-07,0.01,0.008029366878986,0.008414521841269,0.004536711652834,0.002689718538253,"PACE_HICO","AGID_1181","US","ETM+",NA,"US"
"78",NA,NA,0.003311255878608,0.007023192039029,0.004923625376529,1.85280232e-07,0.01,0.008453912689684,0.008760285955136,0.00546458497106,0.002952324194355,"PACE_HICO","AGID_1182","US","ETM+",NA,"US"
"79",NA,NA,0.003446139250476,0.006696085338782,0.005245381154941,1.82702464e-07,0.01,0.007766761222884,0.00872964862859,0.004808070830806,0.002926063628744,"PACE_HICO","AGID_1183","US","ETM+",NA,"US"
"80",NA,NA,0.003023946675882,0.006361101567369,0.004276413106988,1.44587584e-07,0.01,0.008362000710048,0.009377409246974,0.004773056743326,0.002891049541264,"PACE_HICO","AGID_1184","US","ETM+",NA,"US"
"81",NA,NA,0.001831712974496,0.003439108519528,0.002571897035724,8.0759929e-08,0.01,0.005254500446179,0.005451454688255,0.003214929850456,0.000868985989282,"PACE","AGID_1244","US","ETM+",NA,"US"
"82",NA,NA,0.002961560325129,0.005439528450572,0.004487740341469,1.47654689e-07,0.01,0.006296169548715,0.005543366667891,0.003302465069157,0.000921507120502,"PACE","AGID_1254","US","ETM+",NA,"US"
"83",NA,NA,0.014071956446045,0.01659480301678,0.007522441487556,0.004719448903121,0.01,0.014331902625425,0.015557395687233,0.006523761117337,0.006269908983105,"AC_Claudia","AGID_126","Italy","ETM+","1","Italy"
"84",NA,NA,0.006795994162208,0.009138380293207,0.002510537826812,-1.4407868975e-05,0.01,0.014331902625425,0.015557395687233,0.006523761117337,0.006269908983105,"AC_Claudia","AGID_127","Italy","ETM+","3","Italy"
"85",NA,NA,0.007894897543435,0.010524521586527,0.003411532434826,0.000873561740844,0.01,0.014331902625425,0.015557395687233,0.006523761117337,0.006269908983105,"AC_Claudia","AGID_128","Italy","ETM+","3","Italy"
"86",NA,NA,0.007601202308255,0.009647425416327,0.003145488386706,0.000798050221797,0.01,0.014331902625425,0.015557395687233,0.006523761117337,0.006269908983105,"AC_Claudia","AGID_129","Italy","ETM+","3","Italy"
