ID,region,lat,long,Date,dif_days,tss,chla,secchi,sensor,Class,CA_insitu,Blue_insitu,Green_insitu,Red_insitu,NIR_insitu,CA_satellite,Blue_satellite,Green_satellite,Red_satellite,NIR_satellite
AGID_140,Italy,45.7061,10.0647,7/8/2016,1,3.5,2.36,NA,ETM+,3,NA,0.00906119,0.01220896,0.004410432,0.001873392,0.01,0.017439403,0.018769938,0.009368656,0.008913473
AGID_141,Italy,45.7061,10.0647,7/8/2016,1,3.5,2.36,NA,ETM+,3,NA,0.009237821,0.01247891,0.004651736,0.001977675,0.01,0.017439403,0.018769938,0.009368656,0.008913473
AGID_142,Italy,45.7289,10.0667,7/8/2016,1,3.4,2.68,NA,ETM+,3,NA,0.009466322,0.012718506,0.004324525,0.001304798,0.01,0.015286037,0.017579459,0.007460388,0.006304923
AGID_143,Italy,45.7289,10.0667,7/8/2016,1,3.4,2.68,NA,ETM+,3,NA,0.011545071,0.014481613,0.005534066,0.002612478,0.01,0.015286037,0.017579459,0.007460388,0.006304923
AGID_144,Italy,45.7289,10.0667,7/8/2016,1,3.4,2.68,NA,ETM+,1,NA,0.014687007,0.017223813,0.008151926,0.007789843,0.01,0.015286037,0.017579459,0.007460388,0.006304923
AGID_1499,US,30.418,-86.186,1/12/2011,2,NA,NA,NA,ETM+,NA,NA,0.004100899,0.008436307,0.005995497,1.96E-07,0.01,0.008992254,0.010865508,0.007171522,0.000921507
AGID_1503,US,30.418,-86.186,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003087752,0.006739202,0.004943295,1.85E-07,0.01,0.007758008,0.008720895,0.005429571,0.00291731
AGID_1570,US,30.4288,-86.2011,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003446139,0.006696085,0.005245381,1.83E-07,0.01,0.007766761,0.008729649,0.004808071,0.002926064
AGID_1582,US,30.431,-86.4292,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.002833907,0.00490862,0.002567779,7.57E-08,0.01,0.007530416,0.007469141,0.003092381,0.002050711
AGID_1598,US,30.4359,-86.4528,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003023836,0.004901913,0.002531136,7.79E-08,0.01,0.007652965,0.006865148,0.003171162,0.002111986
AGID_1620,US,30.439,-86.474,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.002676715,0.004572514,0.002249398,6.42E-08,0.01,0.007731747,0.006908916,0.00321493,0.002147
AGID_1634,US,30.4413,-86.3596,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.002729703,0.005000461,0.002782753,8.14E-08,0.01,0.007758008,0.007670472,0.003871444,0.002190768
AGID_1638,US,30.4443,-86.2159,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003311256,0.007023192,0.004923625,1.85E-07,0.01,0.008453913,0.008760286,0.005464585,0.002952324
AGID_1641,US,30.4463,-86.3437,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.002883523,0.005493463,0.003220745,9.82E-08,0.01,0.007504156,0.007994353,0.00416031,0.002409606
AGID_1660,US,30.4495,-86.316,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.002918187,0.005599878,0.003413773,1.07E-07,0.01,0.008567708,0.008326987,0.003845183,0.002632821
AGID_167,Italy,45.16211389,10.76201667,9/19/2016,1,9.75,10.3059,NA,ETM+,4,NA,0.006958531,0.012009851,0.008735334,0.001514761,0.01,0.011031825,0.01559241,0.010287776,0.008291973
AGID_1674,US,30.4511,-86.2977,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003002968,0.005814854,0.003576244,1.14E-07,0.01,0.008029367,0.008414522,0.004536712,0.002689719
AGID_168,Italy,45.16211389,10.76201667,9/19/2016,1,9.75,10.3059,NA,ETM+,4,NA,0.006563261,0.011275185,0.00812751,0.001257151,0.01,0.011031825,0.01559241,0.010287776,0.008291973
AGID_1686,US,30.452,-86.233,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003023947,0.006361102,0.004276413,1.45E-07,0.01,0.008362001,0.009377409,0.004773057,0.00289105
AGID_171,Italy,45.16835556,10.78295278,9/19/2016,1,8.142857143,32.49146667,NA,ETM+,4,NA,0.004632076,0.009567352,0.006161052,0.001146266,0.01,0.00895724,0.011985959,0.007101494,0.006838888
